Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2000.07.06,2000,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,Injured,N,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?"
2000.07.04.b,2000,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,Injured,N,
2000.07.04.a,2000,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",F,Injured,N,"Nurse shark, 1.2 m [4'] "
2000.07.02.b,2000,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,Injured,N,0.9 m [3'] shark
2000.07.02.a,2000,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,Injured,N,"0.9 m [3'] shark,  probably a blacktip or spinner shark"
2000.07.00,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,0,Fatal,Y,Thought to involve a Zambesi shark
2000.06.30,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",,M,Fatal,Y,
2000.06.29,2000,Boat,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Fishing,M,No injury,N,"Mako shark, 2 m [6.75'] "
2000.06.19,2000,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,M,Injured,N,
2000.06.13,2000,Boat,USA,Florida,"Pensacola Bay, Escambia County",Sailing,0,No injury,N,"Bull shark, 2.4 m [8']"
2000.06.10,2000,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,M,Injured,N,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] "
2000.06.09.b,2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,Injured,N,Bull shark?
2000.06.09.a,2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming ,M,Severed,N,Bull shark
2000.06.02,2000,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,Injured,N,
2000.06.00,2000,Unprovoked,TANZANIA,,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",Swimming,M,Fatal,Y,Thought to involve a Zambesi shark
2000.05.13,2000,Sea Disaster,NEW CALEDONIA,South Province,Mont Dore,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",0,Fatal,Y,Tiger sharks & bull sharks (20 sharks in all)
2000.05.07.b,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Standing,M,Bitten,N,
2000.05.07.a,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Diving,M,Fatal,Y,
2000.04.14,2000,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,Injured,N,
2000.04.09,2000,Unprovoked,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boogie boarding / wading,M,Injured,N,
2000.03.31,2000,Unprovoked,USA,Florida,Santa Rosa Sound Escambia County,Fishing,M,Injured,N,
2000.03.30,2000,Unprovoked,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,M,Bitten,N,2.5 m shark
2000.03.26,2000,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,F,Injured,N,1.8 m [6'] shark
2000.03.24,2000,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,Bitten,N,1.2 m [4'] shark
2000.03.15,2000,Unprovoked,NEW CALEDONIA,North Province,Poum,Spearfishing,M,Fatal,Y,Tiger shark?
2000.03.14,2000,Unprovoked,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",Surfing,M,Injured,N,"Tiger shark, 4 m [13'] ?"
2000.03.10,2000,Boat,AUSTRALIA,New South Wales,Parramatta River,Rowing,0,Injured,N,2 m to 2.5 m [6.75'  to 8.25'] shark
2000.03.09,2000,Boat,AUSTRALIA,New South Wales,Parramatta River,Rowing,0,No injury,N,
2000.03.02,2000,Unprovoked,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,M,Unknown,N,
2000.03.00,2000,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),Spearfishing,M,No injury,N,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] "
2000.02.21,2000,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",,M,Bitten,N,
2000.02.19,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Body surfing,M,Bitten,N,"White shark, 2.5 m "
2000.02.14,2000,Provoked,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Feeding prawns to captive sharks,M,Bitten,N,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks"
2000.02.03,2000,Unprovoked,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,No injury,N,
2000.02.01,2000,Unprovoked,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,Bitten,N,3 m [10'] shark
2000.01.28.R,2000,Boat,REUNION,,Saint Pierre,Canoe with 3 men onboard sank,M,Fatal,Y,
2000.01.05,2000,Unprovoked,THAILAND,Phang nga Province,Phang nga Island,Diving,M,Fatal,Y,
2000.00.00,2000,Boat,USA,Florida,"Boca Grande, Lee County",Fishing for tarpon,M,No injury,N,Hammerhead shark
1999.12.31.c,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Surfing,M,Injured,N,Sevengill shark
1999.12.31.b,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Swimming,F,Bitten,N,Sevengill shark
1999.12.31.a,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Bathing,F,Injured,N,Sevengill shark
1999.12.26,1999,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Severed,N,"Thought to involve a white, bull or tiger shark"
1999.12.02,1999,Unprovoked,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,M,Injured,N,
1999.11.30,1999,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,Injured,N,
1999.11.23,1999,Unprovoked,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,F,Bitten,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
1999.11.15,1999,Unprovoked,USA,California,"Waddell Reef, Santa Cruz County",Surfing (sitting on his board),M,No injury,N,White shark
1999.11.13,1999,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Surfing,M,Injured,N,"White shark, 3 m [10'] "
1999.11.06,1999,Unprovoked,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay","Spearfishing, but swimming at surface",M,Bitten,N,1.3 to 1.6 m shark
1999.11.00.b,1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,M,Injured,N,"Grey reef shark, 1.2 m [4'] "
1999.11.00.a,1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,M,Injured,N,"Grey reef shark, 1.2 m [4'] "
1999.10.30.b,1999,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Body boarding,M,Injured,N,
1999.10.30.a,1999,Unprovoked,USA,Florida,"Gulfstream Park beach, Palm Beach County",Body surfing,M,Bitten,N,
1999.10.20,1999,Unprovoked,USA,Florida,"Pet Den, Satellite Beach, Brevard County",Surfing,M,Injured,N,"Lemon shark, 2.7 m [9'] "
1999.10.01,1999,Unprovoked,USA,Hawaii,Old Kona Airport State Park,"Surfing, lying on surfboard",M,Bitten,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
1999.09.29,1999,Unprovoked,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",Wading to shore after surfing,M,Injured,N,
1999.09.24,1999,Boat,ITALY,Adriatic Sea,San Benedetto,Fishing,0,Injured,N,Said to involve a 7 m [23'] white shark
1999.09.16,1999,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Wading,F,Bitten,N,Unidentified
1999.09.10,1999,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Wading,F,Injured,N,
1999.09.05,1999,Unprovoked,USA,Florida,"Fort Pierce Inlet, St. Lucie County",Surfing,M,Bitten,N,1.5 m to 1.8 m [5' to 6'] shark
1999.09.04.b,1999,Provoked,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,M,Injured,N,0.9 m [3'] shark
1999.09.04.a,1999,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Wading with surfboard,M,Bitten,N,
1999.08.26,1999,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Surfing,M,Injured,N,"""a small shark"""
1999.08.24,1999,Unprovoked,USA,North Carolina,"Fort Fisher, New Hanover County",Surfing,M,Injured,N,
1999.08.23,1999,Unprovoked,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,Fishing,M,Injured,N,7' shark
1999.08.21,1999,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,
1999.08.16,1999,Unprovoked,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,M,Injured,N,1.8 m [6'] shark
1999.08.05.a,1999,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,Injured,N,4' to 5' shark
1999.08.05,1999,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Spearfishing & holding catch,M,Bitten,N,2.7 m [9']  bull shark or Caribbean reef shark
1999.07.29,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Kogebaai,Surfing,M,Bitten,N,"White shark, 3 m to 5 m [10' to 16.5'] "
1999.07.26,1999,Unprovoked,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,M,Bitten,N,"Bull shark, 2.1 m [7']"
1999.07.21,1999,Unprovoked,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,M,Bitten,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
1999.07.15,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),Boogie boarding,M,Fatal,Y,White shark
1999.07.06,1999,Unprovoked,USA,South Carolina,Charleston,,M,Injured,N,
1999.07.04,1999,Unprovoked,USA,Florida,"Pensacola  Beach, Escambia County",Wading in school of baitfish,F,Injured,N,"Blacktip shark, 1.8 m [6'] "
1999.07.03,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,M,Bitten,N,"White shark, 4 m [13'] "
1999.06.19,1999,Unprovoked,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,M,Injured,N,1.2 m [4'] shark
1999.06.17,1999,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,Injured,N,3' to 4' shark
1999.06.12,1999,Unprovoked,USA,Florida,"Atlantiic Beach, Duval County",Swimming,M,Bitten,N,
1999.06.09,1999,Unprovoked,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,M,Injured,N,Blacktip or spinner shark
1999.05.29,1999,Unprovoked,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",Windsurfing,M,Fatal,Y,Thought to involve a white shark
1999.05.01,1999,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Bitten,N,"Tiger shark, 2.5 m [8.25']"
1999.04.22,1999,Unprovoked,MAURITIUS,Grand Baie,Pointe aux Canonniers,Swimming,F,Bitten,N,"Grey reef shark, 1.5 m "
1999.04.11,1999,Unprovoked,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,Swimming after being swept into sea by a large wave,M,Fatal,Y,3 bull sharks
1999.04.01,1999,Unprovoked,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,M,Bitten,N,
1999.03.18.R,1999,Unprovoked,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,Spearfishing & diving for paua,M,No injury,N,"Sevengill shark, 2.4 m [8'] "
1999.03.18.b,1999,Provoked,BRAZIL,Rio Grande de Norte,Atol das Rochas,Scientific research (Dr. Sonny Gruber's student),M,Bitten,N,
1999.03.18.a,1999,Unprovoked,USA,Hawaii,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",F,Fatal,Y,
1999.03.14.b,1999,Unprovoked,NEW CALEDONIA,Loyalty Islands,Ouvea,Spearfishing,M,Injured,N,200 to 300 kg shark
1999.03.14.a,1999,Provoked,NEW ZEALAND,,,Fishing,M,Bitten,N,"Mako shark, 1.3 m gaffed "
1999.03.08,1999,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Body surfing or body boarding,M,Injured,N,
1999.03.05,1999,Unprovoked,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,F,Severed,N,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity
1999.02.26.R,1999,Boat,USA,North Carolina,Frying Pan Shoals,Cruising,0,No injury,N,Basking shark
1999.02.23,1999,Unprovoked,AUSTRALIA,New South Wales,Scotts Head,Surfing,M,Bitten,N,Bronze whaler or tiger shark
1999.02.03,1999,Unprovoked,USA,Florida,"Hobe Sound, Martin County",Surfing,M,Bitten,N,Spinner shark
1999.01.29,1999,Unprovoked,MAURITIUS,,Belle-Mare,Spearfishing,M,Injured,N,Bull shark
1999.01.13,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,Paddle Skiing,M,Bitten,N,"White shark, 4 m [13'] "
1999.01.07,1999,Boat,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",Inflatable boat,0,No injury,N,
1999.01.03,1999,Unprovoked,REUNION,Saint-Leu,Pointe au Sel,Spearfishing,0,Fatal,Y,Bull shark
1999.00.00.b,1999,Unprovoked,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",Spearfishing,M,Injured,N,"White shark, 4.6 m [15'] "
1998.12.24,1998,Provoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,Bitten,N,
1998.12.22,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Standing,F,Injured,N,
1998.12.20.R,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Surfing,M,Bitten,N,Possibly a white shark
1998.12.18,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Splashing,M,Bitten,N,
1998.12.15,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,F,Injured,N,
1998.11.21,1998,Unprovoked,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",Swimming,M,Fatal,Y,Tiger shark
1998.11.14,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,1.2 m [4'] shark
1998.11.11,1998,Unprovoked,USA,Florida,"South Beach Park, Indian River County",Walking,M,Unknown,N,"A ""small shark"""
1998.11.05,1998,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,No injury,N,"White shark, 5 m  to 6 m [16.5' to 20'] "
1998.11.02.b,1998,Provoked,JAPAN,Southern Japan,460 miles off Iwakuni,Fishing for tuna,M,Bitten,N,6' shark
1998.11.02.a,1998,Unprovoked,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",Surfing,M,Fatal,Y,Though to involve a white shark
1998.10.24,1998,Unprovoked,USA,Florida,"Jupiter Beach, Palm Beach County",Swimming,F,Injured,N,
1998.10.18,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Surfing,M,No injury,N,
1998.10.10,1998,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River County",Surfing,M,Bitten,N,
1998.10.04,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Bitten,N,
1998.10.01.b,1998,Unprovoked,REUNION,Saint-Benoît,,Diving,0,Unknown,N,
1998.10.01.a,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,Injured,N,
1998.09.27,1998,Unprovoked,USA,Florida,"The Rocks, Hutchinson Island, Martin County",Surfing,M,Injured,N,
1998.09.22,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
1998.09.16.R,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kowie River,Fishing / washing bait off hands,M,Injured,N,
1998.09.14,1998,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,M,Bitten,N,1.8 m [6'] shark
1998.09.00,1998,Provoked,SENEGAL,Cap Vert Peninsula,Yoff Island,Spearfishing,M,Bitten,N,1.5 m shark
1998.08.30,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,3' to 4' shark
1998.08.26,1998,Unprovoked,USA,California,"Stinson Beach, Marin County",Boogie boarding,M,Injured,N,"White shark, 5 m to 6 m [16.5' to 20'] "
1998.08.23.R,1998,Unprovoked,USA,Virginia,Virginia Beach,Spearfishing,M,Injured,N,"Dusky shark, 12' "
1998.08.15,1998,Unprovoked,BAHAMAS,Berry Islands,Ambergris Cay,Spearfishing,M,Bitten,N,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] "
1998.08.13,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Body-boarding,M,Injured,N,4.5' to 5' shark
1998.08.12,1998,Provoked,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",Moving a shark in a net ,M,Injured,N,"Sandtiger shark, 2 m, male "
1998.08.01.b,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffalo Bay, near Knysna",Surfing (or body boarding),M,Bitten,N,"White shark, 4 m [13'] "
1998.08.01.a,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Pringle Bay,Spearfishing,M,Bitten,N,"White shark, 4.9 m [16']"
1998.07.26,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Injured,N,
1998.07.25,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
1998.07.06.b,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Wading,M,Bitten,N,"Raggedtooth shark, 1.2 m [4'] "
1998.07.11,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,Bitten,N,5' to 6' shark
1998.07.06.a,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Surfing,M,Bitten,N,"Raggedtooth shark, 1.2 m [4'] "
1998.06.28.a,1998,Unprovoked,AUSTRALIA,South Australia,South Neptune Island,Free diving for abalone,M,Fatal,Y,Thought to involve a 5.5 m white shark named Kong
1998.06.22,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",Body Boarding,M,Fatal,Y,White shark
1998.06.08,1998,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,Injured,N,
1998.06.05,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,Unknown,N,
1998.05.30,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,Surfing,M,Injured,N,
1998.05.29.b,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay near Port Elizabeth,Body boarding,M,Bitten,N,3 m to 4 m [10' to 13'] white shark
1998.05.29.a,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Body boarding,M,Bitten,N,Unidentified
1998.05.25,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,"Lemon shark, 1.5 m [5'], identified  by the surfer"
1998.05.16.c,1998,Unprovoked,USA,Florida,"Pecks Lake, Martin County",Swimming,F,Bitten,N,"1.8 m [6'] shark, possibly a blacktip"
1998.05.16.b,1998,Unprovoked,USA,Florida,"Walden Rocks, St. Lucie County",Swimming / surfing,M,Injured,N,
1998.05.16.a,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Keurbooms,Body boarding,M,Severed,N,4 m [13'] white shark
1998.04.26,1998,Unprovoked,MOZAMBIQUE,Gaza,"Bilene Bay, 180 km north of Maputo",Towing rubber dinghy,F,Fatal,Y,3 m [10'] shark
1998.04.21,1998,Unprovoked,USA,Oregon,Gleneden Beach,Surfing (lying prone on his board),M,Bitten,N,5 m [16.5'] white shark
1998.04.17,1998,Provoked,USA,Florida,"Marathon, Monroe County",Scuba diving,M,Bitten,N,"Nurse shark, 0.9 m [3'] "
1998.04.01,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming ,M,Fatal,Y,
1998.04.00,1998,Unprovoked,NEW CALEDONIA,,Île de Sable,,0,Bitten,N,
1998.03.31,1998,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",Swimming,M,Injured,N,
1998.03.15,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Saldanha Bay,Snorkeling  hunting crayfish and abalone,M,Injured,N,3 m [10'] white shark
1998.03.08.a,1998,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming or paddle boarding,M,Injured,N,5' spinner shark
1998.02.23,1998,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,Bitten,N,Spinner shark
1998.01.28.a,1998,Unprovoked,NEW CALEDONIA,South Province,l'Anse-Vata,Windsurfing,M,No injury,N,1.7 m shark
1998.01.25.b,1998,Unprovoked,REUNION,Grand'Anse,,Bathing,M,Fatal,Y,
1998.01.25.a,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,Injured,N,
1998.01.17,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,M,Injured,N,
1998.01.14,1998,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Surfing,M,Bitten,N,Small dusky shark or blackfin shark
1998.00.00.c,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hole-in-the Wall,Surfing,M,Fatal,Y,
1998.00.00.b,1998,Unprovoked,REUNION,Beaufonds,,Diving,0,Fatal,Y,
1998.00.00.a,1998,Unprovoked,USA,Virginia,"Wreck of the Navy Barge, 22 miles SE of Rudee ",Spearfishing on scuba & transferring fish onto a stringer,M,No personal injury,N,sandtiger shark
1997.12.28.b,1997,Unprovoked,SOUTH AFRICA,Western Cape Province,"Pringle Bay, 44 miles southeast of Cape Town",Spearfishing,M,Fatal,Y,White shark
1997.12.28.a,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Sitting on surfboard,M,Bitten,N,
1997.12.25.a,1997,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",Swimming,M,Injured,N,
1997.11.09,1997,Unprovoked,AUSTRALIA,Western Australia,Albany,Scuba diving (submerged riding a scooter),M,Injured,N,White shark
1997.11.05.R,1997,Unprovoked,USA,Florida,,Swimming,M,Bitten,N,
1997.10.28.b,1997,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Surf-skiing,M,Bitten,N,5.5 m [18'] white shark
1997.10.28.a,1997,Unprovoked,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,M,Severed,N,"Tiger shark, 4 m to 4.3 m [13' to 14'] "
1997.10.24,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,Injured,N,Possibly a blacktip shark
1997.10.21,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,Bitten,N,1.2 m to 1.5 m [4' to 5'] shark
1997.10.11.R,1997,Boat,SOUTH AFRICA,Eastern Cape Province,Off Port Alfred,Fishingat,0,No injury,N,Soupfin shark
1997.10.04,1997,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,Injured,N,
1997.09.16,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,Fatal,Y,
1997.09.09,1997,Unprovoked,USA,Florida,Volusia County  ,Surfing,M,Injured,N,
1997.09.08,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0,Injured,N,small blacktip shark
1997.09.06,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
1997.08.30,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
1997.08.27,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Walking / surfing,M,Injured,N,
1997.08.24,1997,Unprovoked,USA,California,"Clam Beach, near Eureka, Humboldt County",Surfing (sitting on his board),M,Bitten,N,5 m [16.5'] white shark
1997.08.14.a,1997,Unprovoked,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",SCUBA diving,M,Fatal,Y,"Tiger shark, 5.2 m [17']"
1997.08.11.c,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Floating on raft,F,Injured,N,
1997.08.11.b,1997,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,M,Injured,N,
1997.08.11.a,1997,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,M,Fatal,Y,Thought to involve an oceanic whitetip shark or a white shark
1997.08.10,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,Injured,N,
1997.08.09,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
1997.08.05,1997,Unprovoked,USA,Texas,"East Beach, Galveston",Wading,F,Bitten,N,1 m shark
1997.08.04,1997,Unprovoked,USA,Florida,"Carysfort Lighthouse, Key Largo, Monroe County",Wade-fishing,M,Bitten,N,1.5 m [5'] shark
1997.08.02.b,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,Bitten,N,juvenile shark
1997.08.02.a,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading / Surfing,M,Bitten,N,"""juvenile shark"""
1997.07.27,1997,Unprovoked,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",Surfing,M,Injured,N,
1997.07.21,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Breezy Point, Ntlonyana",Surfing,M,Fatal,Y,4.5 m white shark
1997.07.17,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Unknown,N,
1997.07.14,1997,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Standing,M,Bitten,N,Blacktip shark
1997.07.12,1997,Unprovoked,OKINAWA,Miyako,Hirara,Fishing for octopus,M,Fatal,Y,White shark
1997.07.02.R,1997,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,0,Bitten,N,
1997.06.24,1997,Unprovoked,USA,Hawaii,"Sunset Beach, Oahu",Spearfishing / night diving,M,Bitten,N,2.4 m [8'] shark
1997.06.15,1997,Unprovoked,FIJI,Taveuni,Off a small island 5 km from Garden Island Resort,Snorkeling,F,Severed,N,"Tiger shark, 2.7m  [9']"
1997.06.09,1997,Unprovoked,USA,Florida, Palm Beach County,Surfing,M,Injured,N,Possibly a spinner shark
1997.06.07,1997,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana, Rio de Janeiro",Bathing,M,Unknown,0,
