,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
3959,1957.12.20,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Uvongo,Standing,M,"FATAL, multiple, severe injuries  ",Y,"P. Lynch, G. Wolfe, A. Cowan, M.Levine, GSAF ",dec
3960,1957.12.18,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,Body surfing,M,"Left leg severed at knee, part of left thigh removed",N," M. Levine, GSAF ",dec
3961,1957.11.08,1957,Sea Disaster,PACIFIC OCEAN,"1,000 miles east of Hawaii",,Air/Sea Disaster Pan-American Airlines Stratocruiser with 44 people onboard crashed into the sea,,Navy personnel recovered 19 shark-scavenged bodies,N,"Guam Daily News, November 19, 1957; V.M. Coppleson (1962), p.259; SAF Case #1075",nov
3962,1957.11.04.R,1957,Boat,AUSTRALIA,New South Wales,Off Scotts,Fishing,,"No injury, shark's teeth embedded in boat",N,"The Age, 11/04/1957",nov
3963,1957.10.24,1957,Unprovoked,SOLOMON ISLANDS,Honiara,Honiara,,M,FATAL,Y,"V.M. Coppleson (1962), p.248 ",oct
3964,1957.10.23,1957,Unprovoked,SOLOMON ISLANDS,Honiara,Honiara,,F,FATAL,Y,"V.M. Coppleson (1962), p.248",oct
3965,1957.09.02,1957,Unprovoked,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,,M,Survived,N,"V.M. Coppleson (1962), p.248",sep
3966,1957.08.00,1957,Provoked,USA,Florida,"Miami Seaquarium, Virginia Key, Miami, Miami-Dade County",Attempting to net shark in shark channel,M,Legs bitten PROVOKED INCIDENT,N,"St. Petersburg Times (Sunday Magazine), 3/1/1959; R. F. Hutton;  J. Randall, p.352 in Sharks & Survival; T. Helm, p.238",aug
3967,1957.07.24,1957,Provoked,USA,California,"La Jolla, San Diego County",Spearfishing on Scuba,M,Diver jabbed shark with spear and it make a threat display. No injury PROVOKED INCIDENT,N,"SAF Case #1497; R. Collier, p. xxv; H.D. Baldridge, p.185",jul
3968,1957.07.15,1957,Unprovoked,USA,North Carolina,"Salter Path, Atlantic Beach, Carteret County",Swimming,M,"FATAL, knee bitten  ",Y,"V.M. Coppleson, p.155; F. Walker; F. Schwartz, p.23",jul
3969,1957.07.09,1957,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving for trochus,M,Right hand and arm bitten,N,"The Age, 7/11/1957",jul
3970,1957.06.21,1957,Invalid,CUBA,Yucatan Channel,,M.V. Tropical sank. Sole survivor rode oil drums for 8 days without food or water.,,"No injury, no attack, sharks in vicinity when the sea was calm",N,"Daily Telegram, 7/1/1957, p.4; V.M. Coppleson (1962), p.259",jun
3971,1957.05.11,1957,Unprovoked,AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",Competing in spearfishing championship & towing dead fish,M,Thigh bitten & few lacerations on abdomen & buttock,N,"V.M. Coppleson (1958), p.175",may
3972,1957.05.07,1957,Unprovoked,SOLOMON ISLANDS,,,Fishing,M,Legs nipped & he bit shark's snout,N,"Miami Daily News, 5/7/1957",may
3973,1957.05.00,1957,Unprovoked,USA,Florida,"8 miles off St. Marks, Wakulla County",3 men & 2 boys picked up wearing life jackets and with inner tube,M,Leg lacerated,N,"V.M. Coppleson (1962), p.259",may
3974,1957.04.28,1957,Unprovoked,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County",Swimming,M,"FATAL, seen with arm in mouth of shark. Body not recovered.  ",Y,"D. Miller & R. Collier, R. Collier, pp.16-17; V.M. Coppleson (1958), p.255",apr
3975,1957.04.23,1957,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",Surfing,M,Minor injuries,N,"V.M. Coppleson (1958), pp.79 & 236",apr
3976,1957.04.22,1957,Provoked,USA,Florida,"Ormond Beach, Volusia County",Standing,M,Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,N,"R. F. Hutton; V.M. Coppleson (1958), pp.155 & 255",apr
3977,1957.04.13,1957,Unprovoked,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",Swimming between  anchored  pearling luggers,M,"Left arm bitten, surgically amputated",N,"J.W. Robinson; V.M. Coppleson (1958), p.245; J. Green, p.34",apr
3978,1957.04.07.b,1957,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,Diving from canoe,M,Injured while Sonieva was transferred to another canoe,N,"V.M. Coppleson (1958), pp.248 & 266",apr
3979,1957.04.07.a,1957,Unprovoked,SOLOMON ISLANDS,Bougainville (North Solomons),Kieta,Diving from canoe,M,Leg severed,N,"V.M. Coppleson (1958), pp. 248 & 266; A.M. Rapson, p.149",apr
3980,1957.02.24,1957,Unprovoked,FIJI,Viti Levu,Suva Harbor,Spearfishing,M,Right arm & forearm injured,N,"NOTE: V.M. Coppleson (1962), p.253, records the date as 2/24/1957; L. Schultz & M. Malin, p.537, records the name as ""Bale, a Fijian"" and the date as 2/24/1956 ",feb
3981,1957.02.05,1957,Unprovoked,USA,Florida,"South Beach, Fort Pierce, St Lucie County",Floating,M,Foot bitten,N,"R.F. Hutton; V.M. Coppleson (1958), p.255",feb
3982,1957.02.02,1957,Unprovoked,AUSTRALIA,Western Australia,Cape Levêque,,M,Man landed at Cape Levêque lighthouse in critical condition after being bitten by a shark. Not known if he survived.,UNKNOWN,"V.M. Coppleson (1958), p.264",feb
3983,1957.02.00,1957,Unprovoked,USA,Florida,Florida Keys,Skindiving for specimens,M,Minor injuries,N,"T. Helm, p.235",feb
3984,1957.01.05,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umgeni River Mouth,Wading,M,FATAL,Y,"Col. C. Maritz, M. Levine, GSAF",jan
3996,1956.12.26,1956,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),Spearfishing,M,"FATAL, left leg severed at hip, left torso removed ",Y,"Beavis, Kwato Mission; District Commissioner, Samarai; South Pacific Post, 10/29/1956; A.M. Rapson, p.149",dec
3997,1956.12.24,1956,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,Spearfishing,M,"FATAL, left arm, shoulder & chest bitten ",Y,"Beavis, Kwato Mission; A. M. Rapson, p. 149; V.M. Coppleson (1958), p.264",dec
3998,1956.12.15.R,1956,Unprovoked,GABON,Estuaire Province,Owendo,Swimming,M,FATAL,Y,"Alton Evening Telegraph, 12/15/1956, p.4",dec
3999,1956.12.09,1956,Provoked,NEW ZEALAND,North Island,North Auckland,Fishing,M,Bitten in cockpit of boat by shark caught 30 minutes earlier PROVOKED INCIDENT,N," The Argus, 12/10/1956; V.M. Coppleson (1958)",dec
4000,1956.10.27,1956,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Free diving for sinkers,M,Right heel lacerated & swim fin removed by shark,N,"M. Levine, GSAF",oct
4001,1956.10.20,1956,Unprovoked,PAPUA NEW GUINEA,Central Province,Kapakapa ,"Spearfishing, holding 5' speared fish",M,"Left forearm & hand bitten, surgically amputated ",N,"South Pacific Post, 1/024/1956; A.M. Rapson, p. 149",oct
4002,1956.10.07,1956,Unprovoked,SENEGAL,"Near Dakar, Cap Vert Peninsula",Isle de Gorée,"Skindiving, fish at belt",M,Right thigh bitten,N,"M. Cadenet; Y. Gilbert-Desvallons; V.M. Coppleson (1962), p.538 ",oct
4003,1956.10.00,1956,Unprovoked,PAPUA NEW GUINEA,,Port Moresby,Fishing,M,FATAL,Y,"The Age, 12/7/1956",oct
4004,1956.09.23,1956,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surf fishing,M,Posterior left ankle bitten,N,"Daytona Beach Morning Journal, 9/26/1956",sep
4005,1956.09.13,1956,Unprovoked,,Near the Andaman & Nicobar Islands,,Climbing back on ship,M,FATAL,Y,M. Hosina,sep
4006,1956.09.00.b,1956,Unprovoked,MAYOTTE,Mozambique Channel,,Fishing,M,FATAL,Y,P. Fourmanoir,sep
4007,1956.09.00.a,1956,Unprovoked,ITALY,Tyrrenian Sea,1.5 miles south of  San Felice Circeo ,Scuba diving,M,Survived,N,"G. Bini, A. De Maddalena & C. Moore, GSAF",sep
4008,1956.08.25,1956,Unprovoked,PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby",Fishing ,M,"FATAL, tissue removed from abdomen & thigh  ",Y,"V.M. Coppleson (1958), pp.49-51 & 264; A.M. Rapson, p. 149",aug
4009,1956.08.20,1956,Unprovoked,PAPUA NEW GUINEA,Central Province,"Paga Point, Port Moresby ",Fishing,M,"Leg bitten, but survived",N,"V.M. Coppleson (1958), pp.49 & 264; A.M. Rapson, p.149",aug
4010,1956.08.15.R,1956,Unprovoked,USA,Puerto Rico,North coast,Skin diving,M,FATAL,Y,"Virgin Island Daily News, 8/15/1956, p.1",aug
4011,1956.08.15.b,1956,Provoked,AUSTRALIA,Queensland,Near Southport,Diving,M,Laceration to arm when his dive buddy grabbed the shark PROVOKED INCIDENT,N,"Central Queensland Herald, 8/16/1956",aug
4012,1956.08.15.a,1956,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Swimming near pier,M,"Lacerated thigh, hand & shoulder",N,"D. Miller & R. Collier, V.M. Coppleson (1958), p.255; R. Collier, p. 15",aug
4013,1956.08.01,1956,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Chain Rocks, Amanzimtoti",Free diving for crayfish,M,"No injury, right swim fin bitten",N,"Umtali Post, 8/8/1956, M. Levine, GSAF",aug
4014,1956.08.00.e,1956,Provoked,UNITED KINGDOM,Cornwall,The Lizard,Attempting to kill a shark with explosives,M,"FATAL, PROVOKED INCIDENT",Y,ThisisCornwall.co.uk ,aug
4015,1956.08.00.d,1956,Provoked,UNITED KINGDOM,Cornwall,The Lizard,Attempting to kill a shark with explosives,M,"FATAL, PROVOKED INCIDENT",Y,ThisisCornwall.co.uk ,aug
4016,1956.08.00.c,1956,Boat,MALTA,Congreve Channel,between Filfla Island and Wied iz-Zurrieq,Fishing,,"No injury to occupants, but Emmanuel ""later died of shock in hospital""",N,A. Buttigieg,aug
4017,1956.08.00.b,1956,Unprovoked,PAPUA NEW GUINEA,Central Province,Yule Island,Fishing,M,"Leg severed, but survived",N,"V.M. Coppleson (1958), pp.49-51 & 264; A.M. Rapson, p. 149",aug
4018,1956.08.00.a,1956,Unprovoked,PAPUA NEW GUINEA,Central Province,"Fisherman's Island, near Port Moresby",Fishing,M,Leg & foot lacerated,N,"V.M. Coppleson (1958), pp.49-51; A. M. Rapson, p. 149",aug
4019,1956.07.28,1956,Provoked,USA,Puerto Rico,Aquadilla,Floating in inner tube,M,FATAL. His brother speared a shark which then attacked Jose & severed his leg at knee. PROVOKED INCIDENT  ,Y,"V.M. Coppleson (1958), p.265",jul
4020,1956.07.26,1956,Provoked,USA,California,"Van Ness Municipal Pier, San Francisco",Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,"San Mateo Times, 7/27/1956, p.18",jul
4021,1956.07.20,1956,Unprovoked,MALTA,St. Thomas Bay,Marsascala,Swimming,M,FATAL,Y,"V.M. Coppleson (1958), p.261; A. Xuereb; A. Buttigieg & C. Moore, GSAF",jul
4022,1956.07.17,1956,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Wading,F,Lacerations to legs,N,"Miami Daily News, 7/19/1956",jul
4023,1956.07.12,1956,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Arm & leg injured,N,"News & Courier, 7/14/1956; V.M. Coppleson (1958), pp.  153 & 255",jul
4024,1956.06.28,1956,Unprovoked,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ","Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",M,"6"" gashes in foot & leg ",N,"A. M. Rapson, p.149; V.M. Coppleson (1962), p.254",jun
4025,1956.06.22,1956,Boat,PORTUGAL,Madeira,Off Funchal,Longling fishing,M,"FATAL. Shark sank fishing boat, causing death by drowning",Y,"C. Moore, GSAF",jun
4026,1956.06.20,1956,Sea Disaster,MID ATLANTIC OCEAN,,Venezuelan aircraft lost,Air/Sea Disaster,,FATAL x 6,Y,"New York Times, 6/21/1956; L. Schultz & M. Malin, p.558",jun
4027,1956.05.26.R,1956,Boat,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,,"No injury, sharks bit propellers, etc",N,"Natal Mercuy, 5/26/1956",may
4028,1956.05.07,1956,Unprovoked,CUBA,,,"Free diving, working on U/W scenes for motion picture",M,FATAL,Y,"V.M. Coppleson (1958), p.258;  V.M. Coppleson (1962), p.253",may
4029,1956.05.00,1956,Unprovoked,AUSTRALIA,Torres Strait,,Diving,,"""Badly bitten by shark""",N," V.M. Coppleson (1958), p.245",may
4030,1956.03.25,1956,Boat,ITALY,Ligurian Sea,"Genova, S. Nazaro, Punta Vagno",Boating,,No details,UNKNOWN,A. De Maddalena; Mojetta et al. (1997),mar
4031,1956.03.11,1956,Unprovoked,AUSTRALIA,New South Wales,"Cronulla, near Sydney",Bathing,M,"Right thigh gashed, swim fin torn",N," V.M. Coppleson (1958), p.112",mar
4032,1956.03.04,1956,Unprovoked,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay","Swimming, attacked at  surf carnival",M,FATAL,Y,"V.M. Coppleson (1958), pp.110-111 & 241; J. Green, p.34; A. Sharpe, pp.112-113",mar
4033,1956.03.00.b,1956,Unprovoked,AUSTRALIA,Western Australia,Fremantle,Attempting to set underwater endurance record,M,"No injury to diver, but shark bit hole in his wetsuit",N,"J. Green, p.34, Spokesman-Review, 3/19/1956",mar
4034,1956.02.26,1956,Unprovoked,AUSTRALIA,Queensland,Pioneer River near Mackay,Diving into water,M,"FATAL, large amount of tissue removed from leg, artery severed  ",Y,"B. Thompson; L. Schultz & M. Malin, p.521",feb
4035,1956.02.10.R,1956,Unprovoked,AUSTRALIA,Victoria,Cowes,Swimming,M,Punctures to calves,N,"The Argus, 2/10/1956",feb
4036,1956.01.16.R,1956,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,M,Lacerations to thighs,N,"The Age, 1/15/1956; V.M. Coppleson (1958), p.245;",jan
4037,1956.01.16,1956,Unprovoked,COSTA RICA,,San Juan River,Swimming,M,"FATAL, leg severed ",Y,"Washington Post, 1/18/1956;  Note: Webster, p.55, has date of 1/18/1956 and location as Sapoa River in Nicaragua.",jan
4038,1956.01.05,1956,Unprovoked,AUSTRALIA,New South Wales,North Bondi,Surf skiing,M,"No injury, shark bumped his 17' ski",N,"Sydney Morning Herald, 1/16/1956",jan
4047,1955.12.31,1955,Boat,AUSTRALIA,Tasmania,,Ocean racing,,"No injury to occupants, shark gouged hull",N,"C. Black, GSAF",dec
4048,1955.12.11,1955,Boat,USA,Florida,½ mile offshore & 9 miles north of Fort Pierce,Fishing for pompano,,"No injury to occupants, shark released from net holed boat",N,"R.F. Hutton, 3/30/1959, citing Miami Herald; T. Helm, p.234",dec
4049,1955.11.16,1955,Unprovoked,PAPUA NEW GUINEA,Central Province,"Kalautu Village, Baibara at the mouth of Oibada River",Swimming,M,Right thigh bitten,N,"J. G. Davis; A.M. Rapson, pp.143 & 148 ",nov
4050,1955.11.00,1955,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Low Island, Manus",Spearfishing,M,Right arm severely bitten,N,"Rapson, p.149",nov
4051,1955.10.16,1955,Provoked,AUSTRALIA,Queensland,"Tully, North Queensland",Spearfishing & lassoed shark,M,Lassoed shark bit his hand PROVOKED INCIDENT,N,"Sydney Morning Herald, 10/17/1955;V.M. Coppleson (1958), p.185; Cross, p.34",oct
4052,1955.09.23.b,1955,Sea Disaster,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""Flying Tiger"" transport plane went down with 5 men onboard",M,FATAL,Y,"Letter from Captain Raoul G. Rehrer in letter to G.A. Llano in Sharks and Survival, pp.381-382; V.M. Coppleson (1962), p.257",sep
4053,1955.09.23.a,1955,Sea Disaster,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""Flying Tiger"" transport plane went down with 5 men onboard",M,Bitten several times before being rescued after 43 hours in the sea by the freighter Stell Advocate,N,"Letter from Captain R. G. Rehrer in letter to G.A. Llano in Sharks and Survival, pp.381-382; V.M. Coppleson (1962), p.257",sep
4054,1955.09.20,1955,Unprovoked,USA,Hawaii,East Moloka'i,Hunting turtle,M,Arm bitten,N,"J. Borg, p.73; L. Taylor (1993), pp.100-101;  Note:  Date listed as Mar-1956 by V.M. Coppleson (1958), p.260 and 1956 by A. Resciniti, p.53",sep
4055,1955.09.04,1955,Unprovoked,USA,California,"Venice Beach, Los Angeles County",Swimming near breakwater,M,Dorsum of right foot lacerated,N,"R. Collier, p.14-15; L.A. Times, 9/5/1955; V.M. Coppleson (1958), p.254; D. Miller & R. Collier;",sep
4056,1955.09.03,1955,Unprovoked,USA,California,"Venice Beach, Los Angeles County",,M,Minor injury,N,"LA Times, 9/5/1955 editon ",sep
4057,1955.08.30.b,1955,Unprovoked,JAPAN,Izo Islands,"Mikura-jima Island, 150 miles south of Tokyo",Fishing,M,FATAL,Y,"K. Nakaya, L.A. Times, 8/31/1955; V.M. Coppleson (1962), p.247",aug
4058,1955.08.30.a,1955,Provoked,USA,California,"Zuma Beach, Santa Monica, Los Angeles County",Surfing,M,"Surfer grabbed shark, which turned & bit him and 2 lifeguards PROVOKED INCIDENT",N,"SAF Case #244; D. Miller & R. Collier, V.M. Coppleson (1958), p.255",aug
4059,1955.08.26,1955,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Opatija,Swimming,F,FATAL,Y,R. Rocconi,aug
4060,1955.08.08,1955,Unprovoked,AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,Swimming,M,"FATAL, abdomen bitten  ",Y,M. Hosina,aug
4061,1955.08.04.R,1955,Provoked,USA,South Carolina,Windy Hill Beach,Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,"Kingsport Times, 8/4/1955",aug
4062,1955.08.00.c,1955,Unprovoked,NORTH ATLANTIC OCEAN ,Open sea,,Treading water,M,No injury,N,"H.D.Baldridge (1994), SAF Case #1489",aug
4063,1955.08.00.a,1955,Boat,AUSTRALIA,South Australia,Port Augusta,Fishing,,Whelan's head was injured when he fell to the deck as shark rammed boat,N,"V.M. Coppleson (1958), pp.184-185",aug
4064,1955.07.25,1955,Unprovoked,JAPAN,Okayama Prefecture,Usimado-no-Seto,,M,FATAL,Y,M. Hosina,jul
4065,1955.07.23,1955,Unprovoked,USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,Wading,M,Bites on legs & thighs,N,"The Lowell Sun, 7/24/1955",jun
4066,1955.07.15,1955,Unprovoked,MONTENEGRO,Adriatic Sea,Budva,Swimming,M,FATAL,Y,"R. Rocconi;               A. De Maddalena; Radovanovic (1965), Soldo & Jardas (2000)",jul
4067,1955.07.07,1955,Unprovoked,YEMEN,Aden,Telegraph Bay,Swimming,F,"FATAL, back lacerated, arm & leg severed  ",Y,"Evening Sun (Baltimore), 9/27/1955; V.M. Coppleson (1958), p.265; H.D. Baldridge, p.125; M. McDiarmid, p.65 ",jul
4068,1955.05.08,1955,Provoked,USA,California,"Malibu, Los Angeles County",Spearfishing,M,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,"D. Miller & R. Collier, V.M. Coppleson (1958), p.254; ",may
4069,1955.05.00,1955,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Lou Island, south of Manus Island",Spearfishing,M,"Right forearm severely lacerated, left arm & hand lacerated",N,"V.M. Coppleson (1958), pp.144-146 ",may
4070,1955.04.13.R,1955,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hadrians (Haidana?) Island, near Port Moresby",Spearfishing or fishing,M,Left shoulder bitten,N,"South Pacific Post, 4/13/1955; V.M. Coppleson (1962), p.254",apr
4071,1955.04.12,1955,Unprovoked,PAPUA NEW GUINEA,,Abau,Spearfishing,M,No injury. Shark took string of fish then struck canoe,N,"South Pacific Post, 4/20/1955",apr
4072,1955.04.00,1955,Unprovoked,USA,Hawaii,"Hilo, Hawai'i","Fishing from boat, Kaimamla",M,Hand bitten,N,"Tribune-Herald (Hilo, Hawaii), 4/14/1963; J. Borg, p.73; L. Taylor, p.100-101 ; NOTE: Oshiro later sued owner of the boat for $15,000 in damages",apr
4073,1955.03.09,1955,Unprovoked,AUSTRALIA,New South Wales,Wamberal,Body surfing,M,FATAL,Y,"V.M. Coppleson (1958), pp.84-85 & 236; A. Sharpe, pp.82-83",mar
4074,1955.03.00.b,1955,Unprovoked,PAPUA NEW GUINEA,"New Ireland, Bismarck Archipelago","Kabiman, West coast",Swimming with speared fish,M,Left leg bitten,N,"Namatanai Dept. of Public Health;  A. M. Rapson, p.148",mar
4075,1955.03.00.a,1955,Provoked,AUSTRALIA,Western Australia,Woodmans Point,"Competing in U/W endurance record, standing beside drum in 10' of water",M,Leg of wetsuit torn after spear fired at shark  PROVOKED INCIDENT,N,"H.D. Baldridge, p.104",mar
4076,1955.02.10,1955,Unprovoked,USA,California,"Trinidad Bay, Humboldt County",Scuba diving,M,"No injury, shark bumped diver's face",N,"J. DeWitt (1955); V.M. Coppleson (1962), p.255; D. Miller & R. Collier",feb
4077,1955.02.06,1955,Unprovoked,USA,California,"Pacific Grove, Monterey County",Spearfishing,M,"Swimfin & 2 wool socks removed by shark, suit torn",N,"R. Collier, pp. 13-14; D. Miller & R. Collier; California Fish & Game; V.M. Coppleson (1958), pp. 156 & 254; H.D. Baldridge, p.68",feb
4078,1955.02.05,1955,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",Swimming,M,"FATAL, legs bitten ",Y,"V.M. Coppleson (1958), pp.71, 175 & 236; A. Sharpe, pp.74-75",feb
4079,1955.02.04,1955,Unprovoked,INDIA,Tamil Nadu,"Vanagiri, Madras (Chennai), Bay of Bengal",Fishing,M,Leg bitten,N,"V.M. Coppleson (1958), p.261",feb
4080,1955.02.01.,1955,Boat,AUSTRALIA,New South Wales,Parramatta River,Rowing,,"No injury to occupants; shark grabbed oar, vaulted over scull",N,"V.M. Coppleson (1958), p.187",feb
4081,1955.02.00,1955,Boat,AUSTRALIA,New South Wales,Coffs Harbor,Rowing toward snapper grounds,,"No injury to occupants, 6 sharks charged boat",N,"V.M. Coppleson (1958), p.186",feb
4082,1955.01.17,1955,Unprovoked,AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",Hunting lobsters in 2.4 m of water,M,"FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y,"V.M. Coppleson (1958), pp.71, 174-175 & 236; A. Sharpe, p.74",jan
4083,1955.01.15,1955,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,A ford known as Brodies Coffin in St. Lucia Bay,Crossing the bay at the ford,M,"FATAL, leg bitten ",Y,"Natal Daily News, 1/17/1955; M. Levine, GSAF",jan
4090,1954.12.29,1954,Unprovoked,AMERICAN SAMOA,Tutuila Island,Near tuna cannery in Pago Pago Harbor,Dived overboard & was swimming near stern of trawler,M,FATAL,Y,"Townsville Daily Bulletin, 1/6/1955",dec
4091,1954.12.11,1954,Unprovoked,AUSTRALIA,Victoria,Point Lonsdale,Swimming,M,FATAL,Y,"Sydney Morning Herald, 12/13/1954",dec
4092,1954.12.09,1954,Unprovoked,PAPUA NEW GUINEA,Central Province,"Kila Beach, Port Moresby",Swimming near canoe,M,"FATAL, abdomen & thigh bitten",Y,"C.H. Hodgson;  A. M. Rapson, p.148",dec
4093,1954.12.04,1954,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",Swimming,M,Shallow lacerations on torso,N,"D. Gibb, M. Levine, GSAF  ",dec
4094,1954.11.20,1954,Unprovoked,USA,Wake Island,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Spearfishing,M,Shoulder bitten,N,"J. L. Oetzel, NOTE: H.D. Baldridge, p.143 lists date as March 20, 1954 ",nov
4095,1954.10.07,1954,Sea Disaster,USA,Virginia,150 miles off Cape Henry,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a mans leg & another reported that the second cook was killed by a shark,Y,"Long Beach Independent, 10/11/1954, p.9; V.M. Coppleson (1958), p.197; V.M. Coppleson (1962), pp. 213 & .259",oct
4096,1954.10.06,1954,Provoked,UNITED KINGDOM,Isle of Man,Off Fleetwood,Fishing  (trawling),M,Arm broken by tail of netted shark PROVOKED INCIDENT,N,"C.Moore, GDSF; Times of London, 10/7/1954",oct
4097,1954.10.02.b,1954,Boat,CROATIA,Zadar County,"Lika-Senj, Pag Island",Boating,,No details,UNKNOWN,"A. De Maddalena; Anon. (1954), Soldo & Jardas (2000)",oct
4098,1954.10.02.a,1954,Invalid,JAPAN,Nagasaki Prefecture,Oomura Bay,,M,Body found in gut of shark,Y,"K. Nakaya; San Diego Union, 105/1954 ",oct
4099,1954.09.21,1954,Unprovoked,USA,California,"La Jolla, San Diego County",Swimming,M,Minor bruises & abrasions on leg,N,"D. Miller & R. Collier, V.M. Coppleson (1958), p.254; T. Helm, p.232",sep
4100,1954.09.15,1954,Unprovoked,HONG KONG,,Junk Bay,Swimming,M,"FATAL, leg severely bitten",Y,"V.M. Coppleson (1958), p.260; A. MacCormick, p.121 citing Times of London 9/17/1954; [SAF Cases #299 & #298",sep
4101,1954.09.04,1954,Unprovoked,AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait","Spearfishing, hunting crayfish",M,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y,"The Mercury, 9/14/1954",sep
4103,1954.08.12.b,1954,Provoked,CUBA,Guantanamo Province,Boqueron,Spearfishing,M,Knee bitten by shark that his dive buddy had shot  PROVOKED INCIDENT,N,"H.D. Baldridge, p.166",aug
4104,1954.08.12.a,1954,Provoked,CUBA,Guantanamo Province,Boqueron,Spearfishing,M,Right thigh & left calf injured by speared shark  PROVOKED INCIDENT,N,"H.D. Baldridge, p.166",aug
4105,1954.07.30,1954,Unprovoked,ECUADOR,Galapagos Islands,,"Tuna fishing, standing on stern platform that was submerged by waves",M,4 lacerations on dorsum of right foot ,N,"F. X. Schloeder, M.D.; V.M. Coppleson (1962), p.246",jul
4106,1954.07.28,1954,Unprovoked,SINGAPORE,,Singapore Harbor,Closed circuit diving (submerged). Diving to recover jettisoned packets of opium for police,M,"FATAL, abdomen, buttock, right thigh & hands bitten ",Y,"New York Times, 7/29/1954; V.M. Coppleson (1958), p.266; H.D. Baldridge, p.183; ",jul
4107,1954.07.27,1954,Boat,ITALY,Venice Province,Off Chioggia,Fishing trawler Flavio Gioia ,M,No injury to occupants. Shark tore nets & trawl and struck boat repeatedly,,"C. Moore, GSAF",jul
4108,1954.07.15,1954,Unprovoked,THE BALKANS,Slovenia,Between Punta Grossa & Koper,Swimming,M,FATAL,Y,"R. Rocconi & C. Moore, GSAF            V.M. Coppleson, p.261; H. D. Baldridge, p.15",jul
4109,1954.07.04.R,1954,Unprovoked,USA,Florida,Florida Keys,,,Small wound on upper thigh,N,"Daytona Beach Sunday News- Journal, 7/4/1954",jul
4110,1954.07.03,1954,Unprovoked,BERMUDA,South shore ,Elbow Beach,Swimming,M,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",N,"E.M. Marks; V.M. Coppleson (1958), pp.155 & 257; Randall, p.353 in Sharks & Survival",jul
4111,1954.07.02.R,1954,Unprovoked,GREECE,,Kalamata,Swimming,M,FATAL,Y,"C. Moore, GSAF",jul
