,Date,Year,Type,Country,Area,Location,Activity,Age,Injury,Fatal (Y/N),Female,Male
4852,08-Feb-29,1929,Unprovoked,AUSTRALIA,New South Wales,Bondi,Swimming,39,"FATAL, right thigh bitten, femoral artery severed",Y,0,1
4853,27-Jan-29,1929,Unprovoked,AUSTRALIA,Queensland,"Alma Bay, Magnetic Island, Townsville",Swimming,0,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Y,0,1
4854,14-Jan-29,1929,Unprovoked,NEW ZEALAND,North Island,"Miranda Head, Hauriki Gulf",Bathing,0,"One was bitten on the leg, the other on the arm",N,1,0
4855,12-Jan-29,1929,Unprovoked,AUSTRALIA,New South Wales,Bondi,Body surfing,14,"FATAL, right thigh & hip bitten",Y,0,1
4856,06-Jan-29,1929,Boating,TURKEY,NO DATA,San Stefano,Fishing boat,0,FATAL,Y,0,1
4857,05-Jan-29,1929,Unprovoked,FIJI,Viti Levu Island,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,0,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,0,1
4858,Reported 1929,1929,Invalid,AUSTRALIA,New South Wales,Sydney Harbor,Swimming,0,"Later found to be fixtion, never happened",N,0,1
4859,Ca. 1929,1929,Provoked,AUSTRALIA,South Australia,Ardrossan,"Wading, netting fish",0,Bitten below the knee,N,0,1
4860,1929,1929,Provoked,USA,Florida,Indian River area,Fishing,0,Thigh lacerated by hooked shark PROVOKED INCIDENT,N,0,1
4861,1929,1929,Unprovoked,AUSTRALIA,New South Wales,"Garden Island, Sydney",NO DATA,0,Hand lacerated,N,0,1
4862,1929,1929,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Hardhat diving ,27,"“Put hand through hatch, shark nearly bit off thumb”",N,0,1
4863,21-Dec-28,1928,Unprovoked,AUSTRALIA,NO DATA,NO DATA,Pearl diving,0,Injuries to arm ,N,0,1
4864,18-Nov-28,1928,Provoked,USA,New Jersey,"Seabright, Monmouth County",Fishing,0,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,0,1
4865,Reported 15-Nov-1928,1928,Boating,INDIA,NO DATA,NO DATA,NO DATA,24,"No injury to occupants, shark bit keel",N,0,1
4866,12-Nov-28,1928,Sea Disaster,USA,Virginia,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",0,FATAL,Y,0,1
4867,04-Nov-28,1928,Unprovoked,PANAMA,Gulf of Panama,Taboga Island Bay,Swimming,17,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",Y,0,1
4868,Sep-28,1928,Unprovoked,USA,Texas,Corpus Christi,Fishing,0,Knee bitten,N,0,1
4869,Reported 24-Aug-1928,1928,Invalid,USA,New Jersey,Off shore,NO DATA,0,Thumb & coat sleeve recovered from shark's gut,UNKNOWN,0,1
4870,11-Jul-28,1928,Unprovoked,AUSTRALIA,NO DATA,NO DATA,Pearl diving,0,Injuries to chest,N,0,1
4871,Late Jul-1928,1928,Provoked,ITALY,Tuscany,Viareggio,Boating,0,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",N,0,1
4872,Reported 24-Jun-1928,1928,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,0,Bitten on leg,N,0,1
4873,27-May-28,1928,Invalid,INDIA,NO DATA,NO DATA,NO DATA,0,No details,UNKNOWN,0,1
4874,Reported 14-Apr-1928,1928,Unprovoked,AUSTRALIA,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,0,Severe lacerations to arm,N,0,1
4875,14-Apr-28,1928,Unprovoked,AUSTRALIA,New South Wales,Bondi,Treading water,19,Tissue of left leg stripped from knee to ankle ,N,0,1
4876,09-Apr-28,1928,Unprovoked,JAMAICA,NO DATA,"Coal wharf, Port Royal",Diving,0,FATAL,Y,0,1
4877,06-Apr-28,1928,Unprovoked,AUSTRALIA,Queensland,Graceville,Bathing,15,Lacerations to right leg ,N,0,1
4878,04-Apr-28,1928,Unprovoked,AUSTRALIA,New South Wales,"Cooks Hill, Newcastle",Standing in waist-deep water,28,"FATAL, right hand severed, large lacerations on thigh",Y,0,1
4879,Reported 28-Mar-1928,1928,Unprovoked,AUSTRALIA,Queensland,NO DATA,NO DATA,0,Hip bitten,N,0,1
4880,20-Feb-28,1928,Unprovoked,AUSTRALIA,Torres Strait,"Near Barrow Point, Queensland",Pearl diving,0,FATAL,Y,0,1
4881,Feb-28,1928,Unprovoked,COSTA RICA,Near Puntarenas,NO DATA,Swimming,0,Right leg severely lacerated. Surgically amputated,N,1,0
4882,Feb-28,1928,Unprovoked,COSTA RICA,Near Puntarenas,NO DATA,Swimming,0,Right leg & hand severely lacerated,N,0,1
4883,27-Jan-28,1928,Unprovoked,AUSTRALIA,Torres Strait,Deliverance Island,Retrieving meat from a cage in the water,78,FATAL,Y,0,1
4884,21-Jan-28,1928,Invalid,USA,Florida,NO DATA,Swimming,0,Body not recovered ,Y,0,0
4885,Some time between 08-Jan-1928 & 21-Jan-1928,1928,Invalid,USA,Florida,Off Florida coast,Jumped overboard and swimming,0,"FATAL, presumed taken by shark/s",Y,0,1
4886,02-Jan-28,1928,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Salt Vlei, Port Alfred",NO DATA,0,Leg lacerated,N,1,0
4887,Jan-28,1928,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River mouth,Body surfing,18,Foot bitten,N,0,1
4888,1928,1928,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Tugela River Mouth,Standing,25,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ",N,0,1
4889,28-Dec-27,1927,Unprovoked,SOUTH AFRICA,Western Cape Province,Little Brak River,Swimming,17,"FATAL, leg bitten  ",Y,0,1
4890,03-Nov-27,1927,Sea Disaster,AUSTRALIA,New South Wales,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,0,40 people perished,Y,0,0
4891,25-Oct-27,1927,Sea Disaster,BRAZIL,Porto Seguro,90 miles off Albrohos Island,Italian liner Principessa Mafalda sank,0,"Of 1256 on board, 295 perished, some were taken by sharks",Y,0,0
4892,12-Oct-27,1927,Unprovoked,AUSTRALIA,New South Wales,"Kiah Creek, Eden",Riding horseback across the creek,0,No injury to man or horse,N,0,1
4893,Oct-27,1927,Unprovoked,FIJI,NO DATA,a river,"Standing, collecting bananas",0,Leg bitten. He survived,N,0,1
4894,03-Jul-27,1927,Boating,AUSTRALIA,New South Wales,Bellambi Reef,NO DATA,0,"No injury to occupants, boat was bumped & lifted 2' out of the water by the shark",N,0,0
4895,29-May-27,1927,Sea Disaster,PHILIPPINES,Luzon Island,Bondoc Peninsula,Sea disaster,0," 55  perished, some were  taken by sharks",Y,0,0
4896,Reported 09-May 1927,1927,Unprovoked,AUSTRALIA,Queensland,Off Cairns,Walking,0,FATAL,Y,0,1
4897,20-Apr-27,1927,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,0,Extensive injuries to left leg,N,0,1
4898,08-Apr-27,1927,Unprovoked,AUSTRALIA,Queensland,Near Thursday Island,Pearl diving,0,Leg injured,N,0,1
4899,11-Mar-27,1927,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Body surfing / treading water,17,"Right buttock & thigh bitten, thumb removed",N,0,1
4900,14-Feb-27,1927,Provoked,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the shark’s teeth,0,"Sharks’s jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",N,0,1
4901,09-Feb-27,1927,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Attempting to rescue drowning man,0,"No injury, but trouser leg shredded by shark",N,0,1
4902,Feb-27,1927,Provoked,NEW ZEALAND,South Island,"Menzies Bay, Banks Peninsula, ",Fishing,70,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,N,0,1
4903,20-Jan-27,1927,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidd’s Beach,Body surfing,0,Both thighs  lacerated,N,0,1
4904,Reported 08-Jan-1927,1927,Unprovoked,USA,California,"Catalina Channel, Los Angeles County",Swimming,0,Lost hand,N,0,1
4905,03-Jan-27,1927,Unprovoked,AUSTRALIA,New South Wales,"Grey’s Point, Port Hacking",Swimming,15,"FATAL, leg bitten from thigh to ankle",Y,0,1
4906,1927,1927,Unprovoked,AUSTRALIA,New South Wales,15 miles up the Cataract River,Swimming,10,"FATAL, shoulder bitten ",Y,0,1
4907,1927,1927,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,0,Shoulder bitten,N,0,1
4908,Reported 02-Dec-1926,1926,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,0,FATAL,Y,0,1
4909,17-Nov-26,1926,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,0,Arm injured,N,0,1
4910,Reported 29-Oct-1926,1926,Unprovoked,PAPUA NEW GUINEA,Central Province,Roku Point,Jumped into the water,0,"FATAL, abdomen bitten",Y,0,1
4911,23-Oct-26,1926,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Bathing,17,"3"" laceration to leg",N,0,1
4912,23-Oct-26,1926,Sea Disaster,BERMUDA,NO DATA,18 miles southwest of Bermuda ,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,0,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",N,0,0
4913,Reported 06-Sep-1926,1926,Unprovoked,PAPUA NEW GUINEA,NO DATA,Near Port Moresby,Jumped out of canoe,0,FATAL,Y,0,1
4914,24-Aug-26,1926,Unprovoked,USA,New Jersey,"Seaside, Ocean County",Swimming,18,FATAL,Y,0,1
4915,23-Jul-26,1926,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Varazze,Swimming,20,"FATAL, body was not recovered",Y,0,1
4916,12-Jul-26,1926,Boating,USA,New Jersey,20 miles off Seabright,Fishing,0,No injury to occupants,N,0,1
4917,08-Jul-26,1926,Unprovoked,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,15,Leg & hand lacerated and dog bitten,N,0,1
4918,03-Jul-26,1926,Invalid,SPAIN,Sants-Montjic,"Casa Antunez Beach, Barcelona",Bathing,0,No injury,N,0,1
4919,18-May-26,1926,Unprovoked,USA,Hawaii,"Hale'iwa, O'ahu",Swimming,0,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y,0,1
4920,22-Apr-26,1926,Unprovoked,SOUTH ATLANTIC OCEAN,South of the Equator ,Steamship bound from Cape Town to Philadelphia,Fell overboard from SS Ripley Castle,26,When taken back on board 2 hours later both legs were bleeding from shark bites,N,0,1
4921,07-Apr-26,1926,Unprovoked,USA,Hawaii,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,0,Right leg bitten thigh to heel,N,1,0
4922,17-Mar-26,1926,Unprovoked,AUSTRALIA,South Australia,"West Beach, Brighton",Swimming ,0,FATAL,Y,1,0
4923,26-Jan-26,1926,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hamburg,Swimming,0,Thigh lacerated,N,0,1
4924,Jan-26,1926,Unprovoked,AUSTRALIA,Victoria,NO DATA,NO DATA,0,Leg lacerated,N,0,1
4925,Summer of 1926,1926,Unprovoked,MONACO,Bay of Monaco,NO DATA,NO DATA,0,FATAL,Y,0,1
4926,1926,1926,Provoked,NEW ZEALAND,Cook Islands,Rarotonga,Shark hoisted on board liner Tahiti,0,"Struck on head by shark’s tail, knocked unconscious & deep gash in head PROVOKED INCIDENT",N,0,1
4927,1926,1926,Unprovoked,SINGAPORE,NO DATA,Sea View Beach,Dived onto shark from floating stage,0,"FATAL, femoral artery severed ",Y,1,0
4928,1926,1926,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Swimming to mail boat,0,No details,UNKNOWN,0,1
4929,22-Nov-25,1925,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Floating on his back,55,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",Y,0,1
4930,Nov-25,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",NO DATA,0,Laceration across abdomen,N,0,0
4931,Nov-25,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",NO DATA,0,Both calves lacerated,N,0,1
4932,04-Sep-25,1925,Provoked,SPAIN,Valencia ,Valencia,Fishing,0,Right hand bitten by hooked shark PROVOKED INCIDENT,N,0,1
4933,03-Sep-25,1925,Unprovoked,ENGLAND,Isle of Wight,Off Shanklin,Fishing,0,No injury but shark lifted boat out of the water,N,0,1
4934,02-Aug-25,1925,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Swimming,0,"Multiple lacerations on both thighs, right buttock and hip",N,1,0
4935,15-Jun-25,1925,Invalid,AUSTRALIA,Western Australia,"Princess Royal Harbor, near King George’s Sound",NO DATA,0,Human arm found in shark,UNKNOWN,0,0
4936,May-25,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",NO DATA,0,"Right arm nearly severed at shoulder, left wrist lacerated",N,0,1
4937,07-Mar-1925 or 27-Mar-1925,1925,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in waist-deep water,16,"Left thigh bitten, leg surgically amputated ",N,0,1
4938,12-Mar-25,1925,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,16,"FATAL, right forearm severed, lacerations from buttocks to heel L",Y,0,1
4939,10-Mar-25,1925,Unprovoked,PAPUA NEW GUINEA,Central Province,Hula,Swimming,0,FATAL,Y,0,1
4940,Reported 27-Jan-1925,1925,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,0,Lacerations to arm,N,0,1
4941,08-Jan-25,1925,Unprovoked,CANADA,Vancouver,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'",0,"Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",N,0,1
4942,1925,1925,Unprovoked,FIJI,Viti Levu Island,"Suva Harbor, Suva",Diving for coins tossed from passenger ship,0,"Both arms bitten, surgically amputated",N,0,1
4943,25-Nov-24,1924,Unprovoked,MEXICO,Tamaulipas,Tampico,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,0,FATAL,Y,1,0
4944,24-Nov-24,1924,Unprovoked,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,"Inebriated, woke from sleep and fell off deck into the water ",35,Knee bitten,N,0,1
4945,21-Nov-24,1924,Unprovoked,USA,Puerto Rico,Santurce,Bathing,35,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,0,1
4946,Reported 31-Oct-1924,1924,Provoked,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,0,Abrasions PROVOKED ATTACK,N,0,1
4947,18-Oct-24,1924,Unprovoked,AUSTRALIA,Victoria,Port Melbourne,Bathing,0,Leg bitten,N,0,1
4948,31-Jul-24,1924,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,0,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N,0,1
4949,14-Jul-24,1924,Provoked,ENGLAND,Dorset,Weymouth,Fishing for mackerel,0,Arms broken by hooked shark PROVOKED INCIDENT,N,0,1
4950,04-Jul-24,1924,Boating,USA,California,"Newport Beach, Orange County",Fishing,0,"No injury, shark tore hole in the side of the boat",N,0,1
4951,18-Jun-24,1924,Provoked,USA,Florida,"Bayboro, Pinellas County",Removing shark from a net,0,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N,0,1
4952,25-Apr-24,1924,Unprovoked,AUSTRALIA,New South Wales,Kiama,"Fishing, fell in water & swimming strongly to shore",20,"FATAL, partial remains recovered ",Y,0,1
4953,22-Apr-24,1924,Unprovoked,PANAMA,150 miles offshore,NO DATA,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",21,"Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",N,0,1
4954,20-Apr-24,1924,Invalid,AUSTRALIA,Western Australia,Fremantle,Swimming ,0,Abrasions,N,0,1
4955,Reported 28-Mar-1924,1924,Unprovoked,SOLOMON ISLANDS,Central Province,Savo Island,Swimming,0,"Left arm severed, leg bitten",N,0,1
4956,24-Mar-24,1924,Boating,SPAIN,Galica,Sisargas Islands,Fishing,0,"No injury to occupants, shark bit boat",N,0,0
4957,13-Feb-24,1924,Unprovoked,AUSTRALIA,New South Wales,Bronte,Bathing in 5' of water,30,"Legs severely bitten, surgically amputated",N,1,0
4958,08-Feb-24,1924,Invalid,AUSTRALIA,Queensland,Currumbin,Bathing,0,Probable drowning & scavenging,UNKNOWN,0,1
4959,29-Jan-24,1924,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Swimming,22,FATAL,Y,0,1
4960,25-Jan-24,1924,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"St. George’s Strand, Port Elizabeth",Swimming,0,Foot lacerated,N,0,1
4961,09-Jan-24,1924,Unprovoked,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,16,"FATAL, right thigh severely bitten, left arm lacerated ",Y,0,1
4962,12-Dec-23,1923,Unprovoked,AUSTRALIA,New South Wales,"Murwillumbah, Tweed River",Swimming,0,Lacerations to leg,N,0,1
4963,02-Dec-23,1923,Unprovoked,AUSTRALIA,New South Wales,"Urunga, Belliger Heads","Fishing, standing in waist-deep water",0,"FATAL, disappeared, thought to have been taken by a shark ",Y,0,1
4964,23-Nov-23,1923,Unprovoked,AUSTRALIA,Western Australia,"Condon, 88 km NE of Port Hedland",Dry shelling,0,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",Y,0,1
4965,02-Nov-23,1923,Invalid,AUSTRALIA,New South Wales,Bellinger Head,Fishing,0,FATAL,Y,0,1
4966,20-Oct-23,1923,Invalid,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,0,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",Y,0,1
4967,17-Oct-23,1923,Boating,AUSTRALIA,New South Wales," Black Head, south of Taree",Fishing,0,"No injury to occupants, shark bit boat",N,0,0
4968,16-Oct-23,1923,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Pearl diving,0,"Arm severed, but survived",N,0,1
4969,08-Aug-23,1923,Unprovoked,GUYANA,Demerara County,Off the Demerara River ,Fishing,0,Puncture wounds to left leg,N,0,1
4970,Reported 02-Jul-1923,1923,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for pearl,0,non-fatal,N,0,1
4971,16-Jun-23,1923,Boating,AUSTRALIA,New South Wales,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore",0,"FATAL, taken by shark. Two other men drowned,  only 1 man survived",Y,0,1
4972,06-Jun-23,1923,Boating,MEXICO,Vera Cruz,Outside Vera Cruz Harbor,Dismantling cable buoys of the cable ship All America,0,"No injury to occupants, shark rammed boat",N,0,0
4973,Reported 23-May-1923,1923,Unprovoked,AUSTRALIA,Western Australia,"Southgates, near Geraldton",Wading,0,Minor puncture wounds to foot,N,0,1
4974,22-May-23,1923,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving?,0,FATAL,Y,0,1
4975,18-Mar-23,1923,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Diving,0,Lacerations to right thigh and knee,N,0,1
4976,Feb-23,1923,Unprovoked,USA,Puerto Rico,San Juan,Swimming ,25,"Right calf, right side of abdomen & left wrist & hand bitten",N,0,1
4977,27-Jan-23,1923,Invalid,AUSTRALIA,Western Australia,Bunbury,NO DATA,0,Death may have been due to drowning,UNKNOWN,0,1
4978,27-Jan-23,1923,Unprovoked,AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,13,"FATAL, back of thigh bitten ",Y,0,1
4979,14-Jan-23,1923,Invalid,CUBA,Caribbean Sea,20 miles from Havana,seaplane Columbus ditched in the sea,0,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",Y,0,1
4980,1923,1923,Boating,USA,New Jersey,"Sea Bright, Monmouth County",Fishing,0,No injury to occupant Shark struck boat,N,0,1
4981,1923-1924,1923,Unprovoked,PHILIPPINES, Manila Bay,Fort Drum,NO DATA,0,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  ",Y,0,1
4982,1923,1923,Provoked,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,0,Shark's tail broke his leg. PROVOKED INCIDENT,N,0,1
4983,1923,1922,Provoked,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,0,Shark's tail broke his leg. PROVOKED INCIDENT,N,0,1
4984,14-Dec-22,1922,Unprovoked,USA,Puerto Rico,San Juan,Bathing,0,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y,1,0
4985,05-Dec-22,1922,Unprovoked,AUSTRALIA,Queensland,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,19,"FATAL, severe injuries to torso  ",Y,0,1
4986,29-Sep-22,1922,Unprovoked,BARBADOS,Lucy,Pie Corner,Fishing,16,FATAL,Y,0,1
4987,29-Oct-22,1922,Invalid,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,0,"FATAL, but shark involvement prior to death unconfirmed",UNKNOWN,0,1
4988,28-Sep-22,1922,Unprovoked,USA,Hawaii,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",0,Survived,N,0,1
4989,Reported 26-Sep-1922,1922,Unprovoked,ENGLAND,East Yorkshire,Hornsea,Swimming ,0,FATAL,Y,0,1
4990,Reported 21-Sep-1922,1922,Boating,USA,Massachusetts,Nahant,Fishing,0,"No injury to occupants, shark splintered stern",N,0,0
4991,19-Jul-22,1922,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",NO DATA,0,Leg bitten,N,0,1
4992,17-Jun-22,1922,Unprovoked,USA,Florida,"Municipal Pier, St. Petersburg, Tampa bay",Floating,18,"FATAL, thigh bitten",Y,1,0
4993,24-May-22,1922,Unprovoked,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Swimming,19,"FATAL, arm severed, thigh severely bitten  ",Y,0,1
4994,06-May-22,1922,Unprovoked,SOUTH AFRICA,Western Cape Province,"Simon’s Town, False Bay",Swimming,18,Abdomen & thigh bitten,N,0,1
4995,26-Apr-22,1922,Unprovoked,AUSTRALIA,New South Wales,Hawkesbury River,Swimming,0,FATAL,Y,0,1
4996,20-Mar-22,1922,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Fishing,0,Survived,N,0,1
4997,13-Mar-22,1922,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Standing,14,"FATAL, right leg severed at thigh ",Y,1,0
4998,02-Mar-22,1922,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,21,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y,0,1
4999,Reported 02-Feb-1922,1922,Invalid,AUSTRALIA,New South Wales,"Bilgola Beach, Sydney",Swimming,0,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",Y,0,1
5000,04-Feb-22,1922,Unprovoked,AUSTRALIA,New South Wales,Coogee ,Swimming,18,"FATAL, both arms & shoulder bitten",Y,0,1
5001,Reported 28-Jan-1922,1922,Unprovoked,IRAQ,NO DATA,Shatt-al Arab River,Bathing,0,FATAL,Y,0,1
5002,15-Jan-22,1922,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Swimming ,54,FATAL,Y,0,1
5003,13-Jan-22,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing,0,Small laceration on left thigh & swim costume torn,N,0,1
5004,04-Jan-22,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Surfing,26,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y,0,1
5005,11-Dec-21,1921,Unprovoked,AUSTRALIA,Queensland,Fitzroy River at  Rockhampton,Swimming,20,Survived,N,0,1
5006,27-Nov-21,1921,Unprovoked,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,8,"FATAL, disappeared, body not recovered",Y,0,1
5007,27-Nov-21,1921,Unprovoked,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son",40,"Right hip, buttock, elbow, arm & wrist bitten",N,0,1
5008,Reported 15-Nov-1921,1921,Unprovoked,FIJI,Viti Levu Island,Rewa River,Swimming,0,FATAL,Y,0,0
5009,12-Oct-21,1921,Unprovoked,AUSTRALIA,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer ,0,Lacerations to right arm & chest,N,0,1
5010,04-Oct-21,1921,Unprovoked,AUSTRALIA,Queensland,Barrier Reef,Diving for beche-de-mer,22,"Left thigh bitten, FATAL",Y,0,1
5011,Sep-21,1921,Provoked,ENGLAND,Dorset,Weymouth,Fishing,0,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,N,0,1
5012,Reported 29-Aug-1929,1921,Unprovoked,AUSTRALIA,Torres Strait,NO DATA,NO DATA,0,Lacerations to arm,N,0,1
5013,28-Aug-21,1921,Unprovoked,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",Swimming,21,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Y,0,1
5014,Reported 11-Jan-1921,1921,Invalid,PHILIPPINES,"Cavite Province, Luzon",NO DATA,NO DATA,0,Buttons & shoes found in shark caught in fish trap,UNKNOWN,0,0
5015,29-Nov-20,1920,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Wading,0,Lacerations to leg & hand,N,0,1
5016,22-Aug-21,1921,Unprovoked,HAITI,Cape Haitien,Marine Dock,Dived into a school of baitfish,0,"FATAL, large wound on thigh",Y,0,1
5017,22-Nov-20,1920,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Standing,0,"Minor injuries to leg, hand & fingers",N,0,1
5018,04-Nov-20,1920,Sea Disaster,PHILIPPINES,Leyte,NO DATA,The coastwise steamer San Basilio capsized in a typhoon,0,FATAL,Y,0,0
5019,14-Jul-20,1920,Invalid,USA,New York,"Woodcliff Channel, Freeport, Long Island",Swimming ,30,Thought to have been taken by a shark. Body was not recovered,Y,0,1
5020,Reported 06-Jul-1920,1920,Unprovoked,AUSTRALIA,Torres Strait,200 miles from MacKay,Diving for trochus shell,0,Severe lacerations to right shoulder & arm,N,0,1
5021,29-Jun-20,1920,Unprovoked,USA,Florida,"Englewood Beach, Charlotte County",Swimming ,13,Knee & thigh bitten,N,0,1
5022,27-Jun-20,1920,Provoked,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,0,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",N,0,0
5023,08-Mar-20,1920,Unprovoked,AUSTRALIA,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore",20,"Tossed in air by shark, sustained abrasions",N,0,1
5024,Reported 24-Jan-1920,1920,Unprovoked,AUSTRALIA,Torres Strait,NO DATA,Diving,0,Lacerations to foot,N,0,1
5025,03-Feb-20,1920,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Zwartkops River,Floating face down,18,Abdomen bitten,N,1,0
